track_name,track_artist
Wait a Minute!,WILLOW
Can I Be Him,James Arthur
Blank Space,Taylor Swift
Lo Que Siento,Cuco
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith
Dark Necessities,Red Hot Chili Peppers
Blue Lights,Jorja Smith
Cough Syrup,Young the Giant
Kashmir - 1990 Remaster,Led Zeppelin
Solsbury Hill,Peter Gabriel
Pale Blue Eyes,The Velvet Underground
Enola Gay - Remastered,Orchestral Manoeuvres In The Dark
Open,Rhye
99 Red Balloons - Club Mix,Nena
Wing$,Macklemore & Ryan Lewis
Kashmir - 2012 Remaster,Led Zeppelin
BOOM,X Ambassadors
Stay (feat. Maty Noyes),Kygo
All Your Days,Shallou
colorblind,Mokita
